date,overall_ask,overall_sold,condos_ask,condos_sold,condoTown_ask,condoTown_sold,freeTown_ask,freeTown_sold,detached_ask,detached_sold
2010-12-01,"385,737","378,500","315,000","310,000","308,950","299,000","439,999","440,000","479,000","465,000"
2010-11-01,"403,425","396,750","314,900","308,000","320,950","312,250","453,850","451,750","524,000","515,000"
2010-10-01,"399,000","394,250","318,000","309,000","300,000","297,500","449,000","450,500","529,000","520,000"
2010-09-01,"403,425","397,625","314,900","306,500","309,900","304,000","449,900","451,500","539,000","528,500"
2010-08-01,"372,562","363,875","304,900","297,000","296,450","288,500","429,000","420,000","459,900","450,000"
2010-07-01,"387,662","377,500","309,900","305,000","305,900","300,000","438,900","425,000","495,950","480,000"
2010-06-01,"393,912","392,437","309,900","304,000","309,900","310,000","455,950","460,750","499,900","495,000"
2010-05-01,"402,175","399,375","314,900","310,000","311,900","310,000","452,900","452,500","529,000","525,000"
2010-04-01,"394,450","396,375","299,900","303,000","319,900","317,500","439,000","445,000","519,000","520,000"
2010-03-01,"384,450","392,375","299,900","307,500","299,000","300,000","439,000","449,000","499,900","513,000"
2010-02-01,"388,675","401,500","299,900","309,000","315,000","315,000","439,900","462,000","499,900","520,000"
2010-01-01,"361,675","366,750","289,900","292,500","289,900","290,500","397,000","400,000","469,900","484,000"
2009-12-01,"361,825","362,835","299,000","299,000","284,950","282,950","394,350","399,393","469,000","470,000"
2009-11-01,"378,086","382,000","295,000","296,250","288,944","289,500","439,900","455,000","488,500","487,250"
2009-10-01,"373,200","375,500","294,900","296,000","289,900","288,900","419,000","427,000","489,000","490,100"
2009-09-01,"366,912","371,250","287,950","289,000","299,900","299,250","399,900","420,000","479,900","476,750"
2009-08-01,"348,224","347,725","279,000","278,000","284,900","283,000","379,999","385,000","449,000","444,900"
2009-07-01,"349,922","347,612","283,888","282,950","279,900","280,500","389,000","388,000","446,900","439,000"
2009-06-01,"359,487","357,572","279,000","275,000","289,950","285,000","399,999","410,000","469,000","460,288"
2009-05-01,"354,697","350,037","269,990","266,500","274,000","266,000","399,900","399,900","474,900","467,750"
2009-04-01,"352,425","344,825","269,900","264,800","274,950","267,750","394,950","388,000","469,900","458,750"
2009-03-01,"340,462","331,336","265,000","257,000","269,450","266,000","389,900","378,000","437,500","424,344"
2009-02-01,"342,062","329,250","259,900","250,000","299,450","289,000","389,900","379,500","419,000","398,500"
2009-01-01,"325,837","314,600","259,000","249,900","239,900","230,000","399,450","383,500","405,000","395,000"
